Covariate,N_effective,Spearman_r,Spearman_p,Spearman_r_ci95_low,Spearman_r_ci95_high,Spearman_q_fdr
AGE,108,-0.5408980518339609,1.5104573109846609e-09,-0.6621862094527344,-0.39199180035459896,3.0209146219693218e-09
plaque_index,108,-0.5233446955470774,6.2019557254847264e-09,-0.6482114880301232,-0.3710689153278113,9.30293358822709e-09
gingival_index,108,-0.4722369772213888,2.4725309659935734e-07,-0.6070385102576453,-0.31101847283343115,2.967037159192288e-07
pocket_depth,108,-0.6186851178964353,9.642179085339405e-13,-0.7231157216921128,-0.4866024820176633,5.785307451203643e-12
bleeding_on_probing,108,-0.5659635793898782,1.7363319452153318e-10,-0.6819963926445735,-0.4221383307022201,5.208995835645996e-10
number_of_missing_teeth,108,-0.3265183659739387,0.0005630305847372083,-0.4855332276973611,-0.14658950258042597,0.0005630305847372083
