task,model_name,n_features,features,auc,accuracy,sensitivity,specificity,ppv,f1,tn,tp,fn,fp
Task2_G_vs_P,full_control,5,AGE+SEX+mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.9984567901234568,0.9444444444444444,1.0,0.8888888888888888,0.9,0.9473684210526315,32,36,0,4
Task2_G_vs_P,without_mean_GAPDH,4,AGE+SEX+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.9938271604938271,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.9210526315789473,0.9459459459459459,33,35,1,3
Task2_G_vs_P,without_broader_global_proxies,3,AGE+SEX+mean_GAPDH,0.9629629629629629,0.9166666666666666,1.0,0.8333333333333334,0.8571428571428571,0.9230769230769231,30,36,0,6
Task2_G_vs_P,without_AGE_and_SEX,3,mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.962962962962963,0.9166666666666666,0.9722222222222222,0.8611111111111112,0.875,0.9210526315789473,31,35,1,5
Task3_S_vs_P,full_control,5,AGE+SEX+mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
Task3_S_vs_P,without_mean_GAPDH,4,AGE+SEX+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
Task3_S_vs_P,without_broader_global_proxies,3,AGE+SEX+mean_GAPDH,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
Task3_S_vs_P,without_AGE_and_SEX,3,mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
