family,marker,clinical_variable,n,beta,beta_ci95_low,beta_ci95_high,p,shapiro_resid_p,breusch_pagan_p,frac_cook_gt_4_over_n,max_vif_numeric,reset_p,assumption_flag,inference_tier,q_fdr_bh
raw,mean_mir146a,plaque_index,108,0.09823580370612801,-0.12222903116002966,0.3187006385722857,0.3788383436823523,0.005969310683863361,0.042638083431287936,0.05555555555555555,10045.613928669269,0.5310246841614267,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir146a,gingival_index,108,0.10814105197312465,-0.06724361540822754,0.28352571935447685,0.22411711653443958,0.0008420818013848596,0.3318035962138018,0.037037037037037035,10045.613928669269,0.9084411015041075,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir146a,pocket_depth,108,-0.018124546181945644,-0.24385991036998414,0.20761081800609285,0.8737695071696466,0.0001436999887337882,9.45873224245833e-06,0.09259259259259259,10045.613928669269,0.3125308587277139,review,exploratory_adjusted,0.888928766882985
raw,mean_mir146a,bleeding_on_probing,108,5.07682500077056,-1.4951622145290386,11.648812216070159,0.12854485299651755,0.050675281699509786,4.428228174039939e-05,0.07407407407407407,10045.613928669269,0.3513437541874732,review,exploratory_adjusted,0.6427242649825877
raw,mean_mir146a,number_of_missing_teeth,108,0.44216822351319324,-0.056865358003629796,0.9412018050300163,0.08183124236395958,2.4127325401664273e-10,0.6757430586082369,0.06481481481481481,10045.613928669269,0.9801730382351608,review,exploratory_adjusted,0.4909874541837575
raw,mean_mir146b,plaque_index,108,-0.1119817660761557,-0.3087478246713177,0.08478429251900632,0.26158759509998,0.014200027928058707,0.06036094578942287,0.05555555555555555,7022.208238201578,0.22535511748005302,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir146b,gingival_index,108,-0.1558905155228234,-0.3115786447935759,-0.00020238625207089078,0.04970852241083468,0.001156287049697428,0.35466432560749017,0.06481481481481481,7022.208238201578,0.8755464659407296,review,exploratory_adjusted,0.4909874541837575
raw,mean_mir146b,pocket_depth,108,0.02665118142596612,-0.17365966012899853,0.22696202298093077,0.7923688072103554,0.00017894366897039436,7.384787314284295e-06,0.10185185185185185,7022.208238201578,0.3231097561617743,review,exploratory_adjusted,0.888928766882985
raw,mean_mir146b,bleeding_on_probing,108,-7.533804538614541,-13.298808800976559,-1.7688002762525228,0.010944499220445443,0.00719199189092466,0.0007738756219833081,0.046296296296296294,7022.208238201578,0.05301173626444674,review,exploratory_adjusted,0.3283349766133633
raw,mean_mir146b,number_of_missing_teeth,108,-0.03159943155356715,-0.4793070875020134,0.4161082243948791,0.888928766882985,3.7026699822650346e-11,0.8809562601714167,0.07407407407407407,7022.208238201578,0.8227959537905679,review,exploratory_adjusted,0.888928766882985
raw,mean_mir155,plaque_index,108,0.08796472449546469,-0.12494317442399738,0.30087262341492677,0.41437664717624634,0.012741091266867299,0.03227270016165106,0.046296296296296294,6728.398517486623,0.8795282104691232,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir155,gingival_index,108,-0.08548250035458836,-0.25656881057095327,0.08560380986177656,0.32397500943738927,0.0008427532452264439,0.4483446369881018,0.037037037037037035,6728.398517486623,0.9417249666183405,review,exploratory_adjusted,0.7230999539486324
raw,mean_mir155,pocket_depth,108,-0.022826238265336002,-0.24067035008348858,0.19501787355281658,0.8357566999570717,0.00012817952681938957,2.1292510084443642e-05,0.10185185185185185,6728.398517486623,0.34591589164185954,review,exploratory_adjusted,0.888928766882985
raw,mean_mir155,bleeding_on_probing,108,-5.69916523347529,-12.063372793823328,0.665042326872749,0.07867203105904935,0.01994873802464134,0.0012255967601541465,0.06481481481481481,6728.398517486623,0.03460330090380352,review,exploratory_adjusted,0.4909874541837575
raw,mean_mir155,number_of_missing_teeth,108,0.06885382100504889,-0.41837399713143625,0.556081639141534,0.7797931846198823,3.720794666183603e-11,0.8828704482548094,0.05555555555555555,6728.398517486623,0.7789829472393629,review,exploratory_adjusted,0.888928766882985
