delta_median,delta_mean,ci_low,ci_high,n_boot_valid,task,comparison,family,ci_crosses_zero,evidence_tier,note
0.0007770007770007137,0.0015344148562475204,0.0,0.006993006993006978,2000,Task2_G_vs_P,raw_mirna_plus_control - control_only,Q05_incremental_raw,True,descriptive_uncertain,Bootstrap deltas are descriptive uncertainty summaries; not standalone superiority inference tests.
0.0,-3.885780586188048e-19,-1.1102230246251565e-16,1.1102230246251565e-16,2000,Task3_S_vs_P,raw_mirna_plus_control - control_only,Q05_incremental_raw,True,descriptive_uncertain,Bootstrap deltas are descriptive uncertainty summaries; not standalone superiority inference tests.
