task,model_name,n_features,features,auc,accuracy,sensitivity,specificity,ppv,f1,tn,tp,fn,fp
Task2_G_vs_P,control_only,5,AGE+SEX+mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,0.9984567901234568,0.9444444444444444,1.0,0.8888888888888888,0.9,0.9473684210526315,32,36,0,4
Task2_G_vs_P,raw_mirna_only,6,mean_mir146a+mean_mir146b+mean_mir155+mean_mir203+mean_mir223+mean_mir381p,0.8641975308641976,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.85,0.8947368421052632,30,34,2,6
Task2_G_vs_P,raw_mirna_plus_control,11,mean_mir146a+mean_mir146b+mean_mir155+mean_mir203+mean_mir223+mean_mir381p+AGE+SEX+mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
Task3_S_vs_P,control_only,5,AGE+SEX+mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
Task3_S_vs_P,raw_mirna_only,6,mean_mir146a+mean_mir146b+mean_mir155+mean_mir203+mean_mir223+mean_mir381p,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
Task3_S_vs_P,raw_mirna_plus_control,11,mean_mir146a+mean_mir146b+mean_mir155+mean_mir203+mean_mir223+mean_mir381p+AGE+SEX+mean_GAPDH+global_mean_ct_all7_proxy+global_mean_ct_miRNA_only_proxy,1.0,1.0,1.0,1.0,1.0,1.0,36,36,0,0
