family,marker,clinical_variable,beta_adj_std,p_adj,partial_r2,rho_unadj,rho_unadj_p,adj_r2_model,n,q_adj_fdr,classification
raw,mean_mir146a,plaque_index,0.44654976653058176,0.37883834368235414,0.007676415112775416,-0.5976628193365612,8.56711944037919e-12,0.6020559478391236,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir146a,gingival_index,0.5695767565004188,0.22411711653444125,0.014596748055961442,-0.5607513590553795,2.763512071216063e-10,0.6618963818305728,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir146a,pocket_depth,-0.05860900311745987,0.8737695071696429,0.0002511135775186687,-0.5764881341934307,6.625456860182591e-11,0.7888763790936258,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir146a,bleeding_on_probing,0.5754919330519574,0.12854485299652063,0.022722343682009684,-0.648697061116152,3.1655511239975136e-14,0.7800972053480327,108,0.6427242649826032,mostly_group_or_structure_driven
raw,mean_mir146a,number_of_missing_teeth,1.3168317687961568,0.08183124236396508,0.029680715415371525,-0.2059044738323665,0.03252590536744147,0.12483828276747566,108,0.4909874541837905,mostly_group_or_structure_driven
raw,mean_mir146b,plaque_index,-0.5024916471735058,0.2615875950999729,0.012462127779094381,-0.656921596438719,1.1599916269576691e-14,0.5976257256191391,108,0.7230999539486476,mostly_group_or_structure_driven
raw,mean_mir146b,gingival_index,-0.810518313011213,0.04970852241083143,0.037595029598724024,-0.6326565129496745,2.0583607973925359e-13,0.6618074451966398,108,0.4909874541837905,mostly_group_or_structure_driven
raw,mean_mir146b,pocket_depth,0.08507366241076264,0.7923688072103594,0.0006892373008832464,-0.6407421115611953,8.121845275127384e-14,0.7889754399374579,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir146b,bleeding_on_probing,-0.8430296817336161,0.01094449922044564,0.0623874225454919,-0.7109909481027851,6.6524882117151595e-18,0.7852055454049114,108,0.32833497661336924,mostly_group_or_structure_driven
raw,mean_mir146b,number_of_missing_teeth,-0.09289738888780241,0.8889287668831118,0.00019405703874719981,-0.24135486805238612,0.011857232608393602,0.10586255835314384,108,0.8889287668831118,mostly_group_or_structure_driven
raw,mean_mir155,plaque_index,0.40119282052375416,0.4143766471762551,0.006606917209889496,-0.5744287591004451,8.021525846193685e-11,0.6015657449139853,108,0.7230999539486476,mostly_group_or_structure_driven
